,N_star,alpha,R_hull,m_mean,m_m2,m_m3,m_m4,s_mean,s_m2,s_m3,s_m4
1285,1069.0,2.6929251868459017,7.097887171501679,3.157923413566855,4.354302057379647,5.816291229150526,8.083247910996231,1.5131556597935685,1.3078073058500204,1.262707332380501,1.7665594929107526
1286,672.0,2.3543196937508166,5.615372504944857,3.0280240646360195,2.960996321416229,3.413389643991488,4.53086848624316,1.672348879557886,1.09692717399173,0.9751643124970389,1.4666264058435012
1287,92.0,1.8368524874545367,3.994187015236219,2.7506420858690195,1.8039498946871353,1.8675346651146212,2.6381720471930366,1.7728841927557604,0.9256790151433465,0.7292670294461375,1.2020480961311915
1288,542.0,2.1721212019456306,5.107828568819353,2.956601535825348,2.4687209764106366,2.7787116700558205,3.798073391738353,1.7161092332560774,1.0271168869866938,0.8738867763790656,1.3571788345545919
1289,784.0,1.0774273948499293,4.159810501566547,2.714069039296083,1.4968102697321577,1.4728806421910938,2.1592842192431436,1.7940976052366644,0.8838629887511223,0.6485141474388324,1.1264718743907751
1290,299.0,0.7751920524368223,3.8176741604122544,2.561270647133688,1.4028657572150498,1.4794962929207922,2.134571977378486,1.8057840704495924,0.8597347794003117,0.5500476177908202,1.0744346217167149
1291,321.0,0.1506928891592202,3.6362014759337513,2.539141221291129,1.0901839076322775,0.6991397095987629,1.3796590364867154,1.8095223850542257,0.8518384459436334,0.4996794992104785,1.0526382095949294
1292,405.0,0.5902047320961422,3.806294148791756,2.4776453797848648,1.2652177276055225,1.1681695290491634,1.7906035958235769,1.804950406660184,0.8614836211427559,0.5549515549304455,1.0745814971376488
1293,1671.0,2.0262785367496856,5.013136324085394,2.904268662752055,2.2534630783210723,2.6571292649634737,3.7007981676032866,1.7455224451047657,0.9762947268296998,0.8158139210021798,1.2861063442789975
1294,610.0,0.6724764572371517,3.9450238284965056,2.649241919312788,1.372747618564998,1.2957037763454442,1.9815098375881344,1.8032441067996077,0.8650495311208986,0.5777461672036438,1.085163476021529
1295,958.0,0.07885479057472755,3.8358693169159195,2.509319439449138,1.2558590619133088,1.1169196216913941,1.7739278749522096,1.8067798135066606,0.8576401958308831,0.5173747166466734,1.0640886957745412
1296,643.0,1.984788723399719,4.716475151582712,2.8298989913597534,2.0512417243250867,2.337758984777841,3.1972474791190955,1.761315212763636,0.9475065811314384,0.7736503681987885,1.241689094710301
1297,662.0,1.8730533225550057,4.713476723481328,2.851933735009413,2.0870937186596317,2.362201491124572,3.199808678071685,1.7624492310368283,0.9453955299332086,0.7713619431319682,1.2379509062184082
1298,714.0,2.466988702048053,5.969736949945719,3.051598908807761,3.414944201513737,4.434514697025755,6.081045710675239,1.6438396895681184,1.13920633556902,1.0300276911005866,1.529393951949649
1299,603.0,0.9421121647826464,4.054944389490382,2.6474920968335582,1.4378556924632475,1.4094116719142078,2.1029093109718384,1.7947292592395128,0.8825796768731932,0.6408234496208435,1.1225482726314384
1300,1608.0,0.33915047134373233,3.9012711874213295,2.5486544407763705,1.2710030059467847,1.1435556408064382,1.8015556574914193,1.8055361995401153,0.8602552133816065,0.5417738699692127,1.0699814581930862
1301,456.0,0.9278373148044065,3.8833695463929336,2.6520358577407785,1.354838939170621,1.1620333546619257,1.852366057084066,1.8013238191517833,0.8690411374362164,0.594946566509593,1.0933415652733545
1302,1058.0,2.6477434835164058,7.178316583176441,3.1500525374204105,4.408894855175418,5.980446007200711,8.127188119216859,1.5240489365244128,1.2950964593723528,1.257346273523389,1.7635194696184398
1303,406.0,0.5651148077352957,3.818126929574823,2.586257586529973,1.3945485310388421,1.2441654864778264,1.947861337375692,1.8041996187362288,0.863054885712402,0.561397087245416,1.0781028253154017
1304,262.0,1.8897134094323444,4.533958547050893,2.8599139797581286,2.0567264784537937,2.3314770603007,3.219074314469625,1.7526094867510227,0.9635143937431946,0.796968280014961,1.2638029356149771
1305,329.0,1.9268737913264289,4.814158115193047,2.8654277915986213,2.237081306940812,2.5097162605386574,3.396176303340359,1.7409670205915062,0.9843951611079436,0.8199763433637517,1.2962895113202724
1306,403.0,0.2964962034509039,3.816349523274158,2.6027657770129107,1.3803575071310124,1.2590351613994548,1.934832407340066,1.8025773361398636,0.8664380804390542,0.5804716777410923,1.0866304103173343
1307,366.0,0.6722044988926273,3.909255225125858,2.647391166345698,1.432511237652713,1.2725638730563227,1.9378886928443084,1.8006764308884389,0.8703817502928655,0.6044987824481164,1.0971063102127812
1308,334.0,1.9935852000312515,4.829415596057245,2.917531481363793,2.395885198034073,2.6488542568432347,3.5515220413527064,1.7389807365265315,0.9878997914716064,0.8468589328959302,1.3114057670350352
1309,3206.0,0.9638609100278256,4.204400890145529,2.6797356555732765,1.4965332152560022,1.5309798466753803,2.2649549651725307,1.795801445093933,0.8803960300901711,0.6334063592159113,1.1175332419118875
1310,263.0,1.4634761458200567,4.113771050942922,2.8003770813513484,1.5575558575053425,1.7897986665305377,2.5097246418142323,1.7898333012569694,0.8924666681235646,0.6761563009021045,1.1449010242373088
1311,531.0,0.4970554735148862,3.8721838858358613,2.53923832138404,1.3550267452866724,1.2729880062800845,1.8826732452428139,1.8025110782335452,0.8665759129155047,0.5783484412835128,1.087423231032783
1312,1307.0,2.1949509864493955,5.247110531587832,2.902092548671258,2.451543522550543,2.696623376248665,3.661416267233668,1.7169434590334192,1.0257217744019858,0.8756428278499221,1.3580845990125778
1313,152.0,2.697481074198974,6.648361521362157,3.2201584830409793,5.354438413680351,7.340448112934877,9.41597936111069,1.4556337643760282,1.3715430521892022,1.432306618838366,1.9182193511129904
1314,358.0,1.898443644525432,4.508330965880165,2.840687123957449,1.9649134815008327,2.099932681166278,2.9086189980167116,1.7599430758547379,0.9500528247160599,0.7722910421191362,1.2398694074321077
1315,1421.0,1.461112325485069,4.4557847240718065,2.774411610024749,1.704993458378211,1.842351653147484,2.6207611787689133,1.7815370636776873,0.9089145673509048,0.7040306794685516,1.1729335790465636
1316,1088.0,0.32340981335454,3.910106702714501,2.5348068143116804,1.3219257083803817,1.2849226453906446,1.9738325311191791,1.8021399168377839,0.867347519821152,0.5833999260977741,1.0888746534391744
1317,477.0,0.059536679310680185,3.7502788258945223,2.501885319104085,1.195163730213859,1.1273855543156093,1.8265315242344273,1.80882785285921,0.8533122515941858,0.4927963654702346,1.0544477409429454
