,N_star,D,R_hull,m_mean,m_m2,m_m3,m_m4,s_mean,s_m2,s_m3,s_m4
0,1138.0,2.0435654173074997,3.642293223602499,1.9538363611566885,1.0146594164220442,0.9916413796579691,1.5007938795390003,1.7883840056621263,0.8953673259014365,0.4734134140302079,1.0890175268448765
1,1811.0,1.1288509131906017,2.930416735590055,0.5447217709186781,1.9868517528089804,5.422947307133499,9.266290101934684,1.7494952615594792,0.969157536100778,-0.5971887558939862,1.1479021217545393
2,813.0,1.867392068306301,3.1652194872587183,1.5511131595220429,0.9453972089627874,1.316596024644652,2.05981463745505,1.8014363129290203,0.8688079249527446,-0.4743258126747793,1.0454087328496304
3,678.0,2.3736989906894186,3.7505897360424885,2.3381790830158975,1.170602602496456,0.9635951224256811,1.615384951157612,1.800015329199584,0.8717481371626274,0.536863362365537,1.0857498671328627
4,531.0,1.861910534585566,3.0428985017292765,1.4846613686446164,0.9064363745577031,1.5169705433720482,2.5365505863959035,1.7737253612082948,0.9240662005541069,0.4171928376304212,1.1197107648843603
5,2098.0,2.160089320140991,3.764303498380436,2.194819572597084,1.2050242506868705,1.1878238706871416,1.7362298332232002,1.8001066084601924,0.8715596354684771,0.5008369042050734,1.0825395032995409
6,1229.0,1.420343453284268,3.2913264605544903,1.0727112931761114,1.4377302402138123,3.58006382263363,6.0461492421199345,1.7796428285343813,0.9126178843558485,0.4055579588227155,1.1288115065958655
7,888.0,1.2924211653139983,3.145564844700312,0.9370233878777285,1.427196070713565,2.9343353620812844,4.457062110410126,1.7801445602301322,0.9116388235935691,0.36268117521701804,1.1219869866267431
8,728.0,1.8438330134178205,3.712058341396293,1.9449872725964525,1.0862115087965847,1.1640477414092616,1.7168052619780332,1.7639386232046068,0.9426136714301557,0.6718825055539631,1.174076641773383
9,2319.0,2.797637930976503,3.982352559594975,2.5417163947830494,1.3702792793411545,1.453614910178156,2.1658689006160383,1.801361630147743,0.8689627595193403,0.5450400893751974,1.0818974822485854
10,1498.0,2.638839857096878,4.12036844713715,2.5578158984321595,1.359260191219937,1.3564978987843446,1.9710321039622847,1.7927660881154495,0.8865606314873405,0.6169485498680254,1.120268075483365
11,2592.0,2.8503408385158684,4.102318762048615,2.5422539361337835,1.4032745965367055,1.5569930777010736,2.333739345802034,1.7963273736065974,0.8793224475876968,0.6101148858062989,1.1123688688180882
12,732.0,2.3925702555638892,3.6854171628157797,2.2793651759519213,1.2140379373911117,1.0649873479114955,1.6412393787662733,1.7917193061167125,0.8886742530807585,0.5068325575822139,1.1064434558730607
13,1567.0,1.825917488545105,3.4732308682258144,1.6955330314556034,0.9032245666475914,0.8485282310308706,1.2732383660902957,1.7788220165486812,0.9142167322039583,0.5646268292110626,1.1292800837121264
14,2335.0,2.2202211526906948,3.6240306247387237,1.9583904127343819,1.072401136788038,1.0343445431248708,1.523691699401241,1.7718594298773802,0.9276390250278411,0.5043489121275446,1.11311734627322
15,2589.0,2.248819900289802,3.6109914676622807,1.9013216169021339,1.0745259261799582,1.1630618919502433,1.8241254537567704,1.7825169627066546,0.9069913327386531,0.3559816804215641,1.0923298431577686
16,1267.0,1.1733240741223616,3.4046080113071544,0.8119336401587007,1.698180639617538,3.74220375934042,5.944731740782447,1.765649999070536,0.9394041094130972,0.3855187423164756,1.1740941092073058
17,1932.0,2.1372957480033095,3.825213210738773,2.0228099986706463,1.1528929563330088,1.1727232323668677,1.6936667069767177,1.7794864060219022,0.9129228504004367,0.5416966549707068,1.1251263313143012
18,1187.0,1.4007500837402103,3.0803334500997503,0.9764366892392449,1.3000418500149409,2.8892816416823335,4.584661123258236,1.7711542229625414,0.9289847783908847,0.39686246581009754,1.1509668272808822
19,1506.0,2.650336071715181,3.9387848707966655,2.4111608554087467,1.3158947652024713,1.336255027183711,1.9810972794249075,1.794026164814258,0.884007986367683,0.582330713676908,1.1138746724721214
20,989.0,2.4586996720672296,3.992617776613168,2.4753893182959046,1.306821835593299,1.4084834650130897,2.1510558846733527,1.8008011125495493,0.8701237573128916,0.5669188833948162,1.0939570706165513
21,2922.0,2.2909253717056934,4.18558084726089,2.2980366743739826,1.2934159315647702,1.3680838040950107,2.007071260194845,1.7693823393718886,0.9323551561067616,0.6981582143905475,1.1770118841114523
22,1010.0,2.469262781145658,4.005108643381136,2.4858334099505397,1.3825824123620662,1.414313260369342,2.048463461083891,1.7922690648591426,0.8875649830569761,0.6292987315186808,1.125968709990864
23,340.0,1.305666544856669,3.0501186940547558,1.0816104866369889,1.4856524944926186,2.5625728278746878,3.706875065570303,1.7988336252906851,0.8741839557687879,-0.4913988933344448,1.0648270487466855
24,1361.0,1.3535255362683447,3.078140913699594,0.8474563966282495,1.124332064712594,2.6584213487328943,4.466784650240533,1.763318725853553,0.943772785713913,-0.11294419469689,1.12584043065255
25,1264.0,1.7789982433564702,3.300012128440847,1.3794800799092275,1.0231682857796625,2.1533050132395344,3.794345272700782,1.7706606219098413,0.9299252453922605,0.3608158901021715,1.1405452813254824
26,726.0,1.822855690300066,3.480017110985528,1.9109231461387421,0.9553654850957397,0.8473478243804222,1.3419897131396101,1.7939900319064908,0.884081311543315,0.5394869954737272,1.0965704550677373
27,1448.0,2.664850890069151,3.915619124377126,2.4536775600748446,1.3513710475351155,1.3630886936173077,2.022622779394295,1.7930092356681369,0.8860687788251926,0.6042198555268381,1.1087179259473985
28,2361.0,2.7977903404220035,3.4996339935000402,2.292143286802878,1.1292492353332655,0.9109744259143806,1.5258259829255685,1.8021651491094794,0.8672950912666381,0.5021298212670137,1.073940374593393
29,1202.0,2.553043000508553,3.9213736658984355,2.4817508143277784,1.2961180199415743,1.1929361929391704,1.833248495076792,1.8009446820294437,0.8698265644770006,0.5388380949747835,1.084322028072166
30,839.0,1.4473264711281193,3.171697491016674,1.0897354168862192,1.0548087934294688,2.135393232067433,3.3802649424650175,1.7821103981751008,0.9077899144164263,-0.3522890003431119,1.1051593532223496
31,1458.0,1.326689918698938,3.2958534897782914,0.9124028308153973,1.3041492198233926,3.135367084405917,5.475098470764687,1.7817198789694964,0.9085561473485959,0.2761109597938469,1.1160883568141664
