,N_star,H,sigma,L,R_hull,m_mean,m_m2,m_m3,m_m4,s_mean,s_m2,s_m3,s_m4
0,82.0,0.0018512998892705745,3.62357721147919,0.0,4.130063993399223,2.4360183199530825,2.6653163459352873,2.9765572506409237,3.8409050855464666,1.6495627273517972,1.1309035363512232,0.8763735253920376,1.4430362102478618
1,54.0,0.7798263831546849,1.688349718323796,0.0,3.3577628143356835,2.4455202584899887,1.590964834638623,1.7741893637320476,2.333414593705417,1.7830413327315875,0.9059600464539064,0.6528800907702256,1.1499131833744667
2,42.0,0.024008660581140706,1.1383579554013559,0.0,3.1882680087139703,2.4615686255469016,1.225389321908742,1.1262443198363143,1.7675423889148303,1.8088458009161388,0.8532742047595551,0.5526146908587507,1.0797130032560516
3,98.0,0.504138694632736,1.4618071431782367,0.0,3.469186459902163,2.4138989387011476,1.4158109793840181,1.5245930741443827,2.1798696381777933,1.797566897324492,0.876785748996412,0.5591410152681409,1.093914129720656
4,60.0,0.37335935848941026,4.086175220986705,0.0,4.461750294919282,2.3824027445178273,3.9317888123851126,6.010049734761959,8.137319537216282,1.5587937771867129,1.2530610361047778,1.2584422577837835,1.7679843748880513
5,76.0,0.22050687909268585,4.112308957773622,0.0,3.809214029519698,2.1196421719300473,2.652738619790182,3.837360532607497,5.1841785952789365,1.6939122638899438,1.0633255579751881,0.8048363145193707,1.3930504333638236
6,45.0,0.7582405604068135,1.7265507225786139,0.0,3.8125954244346523,2.5189064353849226,1.6680193427383379,1.6872765565556398,2.2114282901283415,1.707234330222827,1.0418017765912169,0.8847910790061506,1.3297884506880104
7,78.0,0.6807822134114665,1.4003195792935346,0.0,4.03297422023573,2.8103791993945584,1.7178841199173043,1.7028194707089543,2.4041777260784363,1.7879453619991834,0.8962429260561046,0.6903308819076872,1.161651313020054
8,91.0,0.4297810867533498,3.922259307048836,0.0,3.5952469432320164,2.0342508450547765,1.6127874483352382,2.029067875174949,2.8063060174204373,1.7334796936603845,0.997521003120786,0.728454296274117,1.2492759156714424
9,79.0,0.07411112607133519,2.680408391567886,0.0,3.347865413836327,2.142099946712467,1.4758374099543559,1.3971989096433763,1.952842115114567,1.7904140807047082,0.8913009702756494,0.5537213024747601,1.112226628295529
10,53.0,0.6562055964441219,1.5216133728414851,0.0,3.7882016416926807,2.7147335050559924,2.3479450467532046,3.4178666071775092,4.532627195517556,1.7794345658016837,0.9130238912701968,0.7641451773794116,1.2350271624018856
11,76.0,0.729612493299056,3.735417568418721,0.0,4.069377396282444,2.4460602684976367,2.3664828926409167,3.5114170177712367,4.82712169904078,1.7431868184043975,0.9804589313893537,0.833344172215372,1.3282558516727658
12,65.0,0.693336042323571,2.797066551097656,0.0,4.622838456096354,2.84350453590009,3.3951304213195397,4.7519966683128265,6.147641221117702,1.6780304487209334,1.0882158853671555,1.010389184739971,1.4848982867927727
13,73.0,0.7348918130592808,1.5445395172429337,0.0,4.253895447202065,2.6549472425466787,2.1553854147721174,2.595039419103631,3.4474782789159204,1.734626067328574,0.9955261958101391,0.8477068999229838,1.316432043317527
14,67.0,0.59461681684478,4.124656397941275,0.0,3.6460301604120113,2.116178165446825,2.7005738638030414,4.333385492225792,6.003179814796252,1.6893721619345075,1.0705240298474052,1.0941898586357603,1.6117058207785928
15,87.0,0.9730766632762735,0.6715682878322116,0.0,3.6608237367512877,2.5507153995015077,1.4173904097195815,1.3223579956942786,1.8925088132740377,1.7955020145879426,0.8810065355096061,0.6455252187449693,1.1268347916897974
16,96.0,0.7473610137852796,0.9676642949980887,0.0,3.793106220165295,2.6303803716609497,1.7376513386637222,2.107146232832247,2.8354940131110205,1.7883212458792555,0.8954926697281594,0.6617074718355379,1.148535555286093
17,92.0,0.8806905639346702,4.163021363677913,0.0,4.128916585023088,2.3911958365397754,2.4641120351893817,3.4984617115009646,4.661194826766441,1.6805839374603633,1.0842682459383475,1.0832888948433377,1.5508451039827222
18,34.0,0.9978998097274435,1.639555842725727,0.0,3.224294392969582,2.5890706511085964,1.154999225115585,0.9509871546082973,1.6245577235906938,1.809224220003002,0.8524715372107914,0.570228305456374,1.0762643094783246
19,83.0,0.8129492915635436,4.236921539496056,0.0,4.33175896588814,2.4617740144117755,3.8799453670788724,7.3889613438798065,10.631194950213116,1.6969735142978961,1.058433224994118,1.1752002905251457,1.6599607378096495
20,58.0,0.5516162429434719,3.199883884909374,0.0,3.547075031325353,2.120920004962419,1.6549215737573533,2.1053020698569616,2.803728406193768,1.7349405463367997,0.9949780402986623,0.8017845535186793,1.2659550646294861
21,93.0,0.005687718222741833,2.500652257844243,0.0,3.6986084550168967,2.17247869082139,1.603109593967938,2.009571842779041,2.6761674162823477,1.769042781450915,0.9329992697727101,0.7145709527757899,1.2154379439547571
22,86.0,0.7500819090452222,1.3870799075441784,0.0,3.7217643063206043,2.3314544635484102,1.6904898817607243,1.9454735982471836,2.5221111183955367,1.7744533926203159,0.9226674143039038,0.6799908301260451,1.1833393323793826
23,52.0,0.7752193180555186,2.218730129892213,0.0,3.741714124731258,2.6138659531046518,1.8410051752228778,2.0380333230462493,2.862150840079274,1.7464722479308685,0.9745946271180141,0.811308193978196,1.2637150873098122
24,50.0,0.9304131037999818,0.687038226005023,0.0,3.753568474918596,2.7129238782238314,1.72900413879026,1.6595202054498293,2.224566657035248,1.76031995537261,0.9493543357024137,0.799178159394534,1.24502838243874
25,77.0,0.21879325378999392,2.391217945386466,0.0,3.6635038033490863,2.492005167440647,1.325203222309373,0.9793185264015161,1.6911347568667747,1.782988423899924,0.9060641700447396,0.694694632328909,1.1779403241716189
26,42.0,0.5423134085193795,1.2872618052035225,0.0,3.6512199706248514,2.5874380070644873,1.930298310396025,2.386624569978001,3.0435556588118593,1.7680789469739044,0.9348244954362543,0.7609254775258095,1.2120757381077385
27,39.0,0.858526265393178,2.5284771514497186,0.0,3.878890985404,2.674097300273227,2.2213026960089413,2.1838433875304486,2.9481794524066585,1.7077140500482697,1.0410152368086336,0.8729414594394646,1.33992254799053
28,86.0,0.6595641333003036,1.3201595763943654,0.0,3.83335666248611,2.7012829534612597,1.5771471380401632,1.4520900878557006,2.1049038575068333,1.783887912089881,0.904291942405552,0.6819411477615742,1.1613572095209566
29,47.0,0.42743260374697456,2.8213806893046622,0.0,4.661125037237499,3.000040059154988,3.810100216451409,5.056418189135194,6.319186369157911,1.6405225124329474,1.1439780969060063,1.1736000927973005,1.592462918964108
30,71.0,0.8422501241638746,2.7101219431514094,0.0,3.571355758092668,2.2909617860592233,2.0557390667297826,2.5503397693727883,3.491693303397613,1.7450477806154936,0.9771428981315586,0.6090941070225808,1.2495825842736663
31,44.0,0.815024471870265,0.7961333495707397,0.0,3.3681311291176192,2.740853312923469,1.3368818243439988,1.1626458905459505,1.7965979454226757,1.7985466556471459,0.8747742151323777,0.629300868634328,1.1052824968283361
32,62.0,0.4180130324554119,2.776605525431521,0.0,4.261325362749751,2.70093086086801,3.106417530231441,4.530767937947225,6.170297438843603,1.7211366306248255,1.0186700637210375,0.9814060886395158,1.4477137029179765
33,94.0,0.8005808660853452,1.3056024221715976,0.0,4.081061835779874,2.8182083048214164,1.8847338549717825,2.0733615627773765,2.7302403167017744,1.7755879346385994,0.9204822031771347,0.7681114732310905,1.218135547789625
34,87.0,0.24754103199986888,0.8404108279996736,0.0,3.7258538056508104,2.7792923634604794,1.594324143616428,1.4401815010446326,2.175979701021069,1.7897053387976514,0.8927232495455594,0.6746135388734827,1.144431625411237
35,84.0,0.5208135411865159,1.849918369012311,0.0,3.384654759615705,2.2377931806375524,1.4686550991970697,1.3773833280753338,1.9575680859783564,1.8020352296793811,0.8675650010197392,0.46473170394211616,1.0847957136414594
36,80.0,0.37261322878920744,2.3495987783131738,0.0,3.499419525083975,2.389026111975271,1.7428809627394604,2.2736093412043155,3.1667946766231307,1.792052061407132,0.8880030457191278,0.5696823455698121,1.1233561133511185
37,92.0,0.5773323586571467,1.8492321494134543,0.0,4.084992350812916,2.7394122841935005,2.19500941973834,2.461036073457788,3.1937298083209082,1.7600821420653476,0.9497951638025202,0.749570909238491,1.2327748860088188
38,77.0,0.26894489120675846,4.314485376606669,0.0,3.8445809883473423,2.152122117820243,2.8627096719674725,3.7509630724475853,4.7839531511103885,1.6932017560244899,1.06445658126369,0.7473810165560221,1.3567406420013595
39,38.0,0.3867418707726765,1.1548877802252289,0.0,2.9575377145419286,2.3781405844087335,1.437569718890943,1.2455535552896118,1.8336155631867748,1.8136062833081632,0.8431086816924317,0.2447056672234178,1.0344929822554059
40,57.0,0.09794852452707936,2.339940880307979,0.0,3.599298194171561,2.499825472688456,1.7150317968880269,1.6624520221425148,2.2632615179521536,1.7717006843617558,0.9279421776339765,0.69291233008262,1.1874508537843003
41,37.0,0.5700364331400458,2.93698030444679,0.0,3.506091335579484,2.484849079922763,1.9188853531510335,2.4118120708846638,3.199738369655906,1.7497808727936521,0.9686417796097204,0.7549745482508216,1.233228006960564
42,56.0,0.04229275954301004,4.445053800835694,0.0,3.6238936685643077,2.1380676234370837,2.4354783986161763,3.1621144023286636,4.161516622259309,1.7562324340107525,0.9568947892682182,0.623898672062939,1.2178348958169982
43,59.0,0.0709230070396365,1.2492684796187308,0.0,3.577024913936745,2.5367538542889148,1.4690731496566112,1.4874750220121677,2.1263896903577626,1.797060675596392,0.8778228341898143,0.6337224206337981,1.1268288870563883
44,34.0,0.4063175643693041,0.5960709628572074,0.0,2.9633680296231284,2.2466596752032224,1.2322591684680966,0.9325212367226758,1.5614261677977737,1.8095790086848287,0.8517181525171534,0.40626615867059507,1.0629856289708837
45,86.0,0.719286270551131,2.1383515463321348,0.0,3.9974271748240504,2.266110181243849,2.7775726927227624,4.560815608042865,6.270082901491367,1.6653806067080663,1.1074779613160133,1.0637532384552426,1.498548731977205
