,N_star,H,sigma,L,R_hull,m_mean,m_m2,m_m3,m_m4,s_mean,s_m2,s_m3,s_m4
0,809.0,0.16568177937827544,3.359481707270554,0.0,4.827545859684244,1.1762078843297794,2.029832484284762,3.2963419174600728,4.671776684321617,2.1003742207646976,1.260328581262479,1.0078479274574184,1.6668221996360346
1,744.0,0.6663910331634537,3.1306818055432526,0.0,6.575763945186723,2.1446612434069316,3.3686526306461446,7.24983378363515,11.867685665583101,1.9493370886587074,1.4832683219092868,1.88032445393707,2.5941865444516905
2,318.0,0.7822644444215442,2.129252512630882,0.0,3.994779044407386,2.095868236726869,1.5954259603206375,2.2610873502827893,3.148225270631852,2.241979163496488,0.9866759500705317,0.6664510558980522,1.33849894473106
3,951.0,0.7098317810262604,0.9283050703236124,0.0,3.9492354715847084,2.3132053561058963,1.1847289857769765,1.2281603715609253,1.7782873951061589,2.2639680412220566,0.9351196224682501,0.5641431542003489,1.2064950061862585
4,589.0,0.9706038813371779,2.5286408016841673,0.0,4.05615592520154,1.7275485941476274,1.4580122362458834,2.0827887612605473,2.8881806072129046,2.1743977412305426,1.127827319642291,0.9087072835989535,1.4975002817890821
5,479.0,0.006083789567232323,2.0677190080531456,0.0,4.110851009489413,1.7488952017962767,1.7891555992803923,2.0939824288258664,2.761658203268668,2.2215019745505824,1.0319539607307395,0.6482239721103719,1.3517810617624935
6,729.0,0.4083801418823081,1.035089679633188,0.0,4.153960652306172,2.325798753767373,1.3827573651372234,1.6460407008774225,2.262276988288149,2.2586105819905935,0.9479864128351798,0.6569645392465131,1.232844038363996
7,328.0,0.7143449421674263,0.7459390975619169,0.0,4.014424215366726,2.4960624840991668,1.3555629180128306,1.6259540993031896,2.259445572398395,2.2596890283837987,0.94541287012706,0.6338749680777946,1.2242681743686321
8,673.0,0.8961497269483395,1.7431031661578071,0.0,3.4011201026410993,1.6430464705684382,1.0655467830360639,1.2291253231790367,1.6798923649184414,2.244263460872696,0.9814690612503829,-0.6857241369004702,1.2216222341971033
9,448.0,0.751733391989073,3.286783260165424,0.0,4.635640644094966,1.8027699310530652,1.9559308396571264,3.4534473260917102,5.241840483128041,2.1389524748411026,1.1936843428524648,1.0637792466618028,1.696670182742254
10,705.0,0.23175411416007508,1.3905225819063691,0.0,4.720660210308527,2.0787952047408487,1.8296404114404823,2.415614925459795,3.29046034409791,2.179407007306579,1.1181167633583617,0.8951353316989642,1.5086035818549026
11,720.0,0.9539841063095679,2.313919564678974,0.0,4.921882550442053,2.011794907068652,1.9440041023900316,2.5850648476375047,3.52085250672994,2.070884157668339,1.308219708427562,1.066719699447698,1.6907942856883167
12,500.0,0.18747100307575382,2.2013413883079904,0.0,4.405852781394292,1.5150168218085112,2.0279012198716044,3.1756356536456525,4.489339984081126,2.1533989328283756,1.1674215331634132,0.9055765750112454,1.5674040071510262
13,484.0,0.11486126212943337,2.617299887697784,0.0,5.318876298518436,1.2358750920642183,2.6781403587740553,4.875689826105948,7.439087732093664,1.8556255949765872,1.5989539240602857,1.381982943062885,2.1075695939624746
14,761.0,0.8801233262079533,3.00116229302094,0.0,5.084974681658985,2.4040907548805217,1.776638018202856,2.433238524573539,3.3161154352374203,2.1904347634328287,1.096355575142009,0.9874650729491335,1.5155140930059063
15,952.0,0.17921160484789944,3.1933724996242066,0.0,7.023829392241334,1.413301165232133,3.42026741715892,6.567170827450237,9.656540545836636,1.9959914903863758,1.4198654761297542,1.7070379979738286,2.4491640614023416
16,925.0,0.7101578912704642,1.604334561857911,0.0,4.274327432532328,2.106183228672448,1.4054685678397971,1.7126468115811595,2.377099260084728,2.226363283107045,1.0214237767121048,0.720368557998801,1.3403350640267386
17,510.0,0.3233123978084701,3.1778637728648325,0.0,6.135613207250245,1.2937672792090809,3.400008913749638,6.69992122802645,9.946570187268449,1.7948712315196462,1.6668645002708369,1.9339082689189584,2.6556785984689926
18,894.0,0.16638066566727583,1.4179700506378972,0.0,4.0842998499516865,1.9624914923297883,1.5207381652264573,2.052822205613353,3.0130598609142667,2.24534450431054,0.978993389641861,0.5383527122885124,1.2638012227496764
19,830.0,0.7764897469436325,2.469118192339047,0.0,5.271411245897706,2.029503803247677,2.167537638528533,4.5121275544635955,7.273808367432513,2.145267038559093,1.1822983266806644,1.1891612639166784,1.7244923592274437
20,654.0,0.4839030636101418,3.21097271600739,0.0,3.576974247255451,0.9325957863146701,1.4159719084047218,2.317581303311629,3.254349370654137,2.144692550006041,1.1833401311324583,0.5596929077398954,1.5833596271914279
21,622.0,0.7489300747407541,3.0661125933270137,0.0,5.730850685683912,2.4106103467232973,3.6648362902868477,8.290716001978216,13.12981258278017,2.1315621079742626,1.206831794347628,1.4806772967272437,2.231209631452053
