,N_star,H,sigma,L,R_hull,m_mean,m_m2,m_m3,m_m4,s_mean,s_m2,s_m3,s_m4
0,577.0,0.9014258314675391,5.453340241791649,0.0,6.465654426867621,2.240993449785292,3.0943528679718253,5.5832221217342335,8.356009120155328,1.9056928942656355,1.5389394376470662,1.979668656178952,2.6800199739291717
1,596.0,0.2402126327346561,5.679940400756656,0.0,5.545745269467134,1.365033244334071,2.711808472025693,4.7825007123507834,6.955956273642833,2.0182833911792852,1.3879957323024605,1.4553724653565365,2.0565711828386943
2,444.0,0.361185753344181,1.5025764328396423,0.0,3.7644785680908477,2.3392363271016343,1.0927126606376591,0.7880003710558228,1.382818511274757,2.2713529823884353,0.917036329375865,0.5513243545655423,1.172534224967968
3,873.0,0.9539575967532954,2.443445306030101,0.0,7.382711283001007,2.5665770965960757,3.2344880511610588,5.887539586029563,8.810819408134714,2.045549674754306,1.3474889714252019,1.619395675571828,2.2526348963568283
4,673.0,0.7856429615026469,5.661235731201596,0.0,9.088173779612486,2.2095021593754156,6.264682114882136,14.906955171760044,23.955177092140733,1.6454607218885817,1.8145134369086133,2.8947332768901015,4.040689724834422
5,339.0,0.877520178600408,4.463405277917366,0.0,5.696441605041864,2.231559427630721,2.824875021682724,4.757125055609511,6.830727065832267,2.0170062762809184,1.3898509565573534,1.5627079549720475,2.1118453170252955
6,945.0,0.3447747871451894,1.6763905303010067,0.0,3.763609302827558,2.0614393273676472,1.1098516852314244,1.2249577566156868,1.7705148945201443,2.2722432704790974,0.914828136735231,0.4702578785603618,1.1777337020959842
7,533.0,0.09517363087707487,5.550290323589112,0.0,4.619117828158637,1.1776770328971544,2.525113511900947,4.675493978518804,7.1030888803447665,1.9803351497554589,1.4416215504226566,1.1763858854833888,1.8352152558999166
8,696.0,0.43782242985835407,1.8588696367055744,0.0,4.115813192314664,2.217400667542225,1.3529964534974133,1.5635093258575388,2.235906408920047,2.2324484968714287,1.0080544175869157,0.712475047454428,1.3095666123572465
9,407.0,0.7081322487058676,3.8706983094571608,0.0,4.354584127756465,1.9291919126500892,1.8326789376409318,2.8626806434664656,4.063802108813356,2.1981488275664347,1.080806056546829,0.8974672523998688,1.5018889151610906
10,653.0,0.18340508407871314,5.122745827751316,0.0,5.366727147699252,1.4680922934271712,2.6752521876009214,4.7460570199850975,7.031002222116346,2.1361554708608907,1.1986825285750553,1.1076123511231502,1.7003982822727628
11,711.0,0.8947765239662799,4.266598669671607,0.0,5.679681692776594,2.6021419028036963,2.5386142470012345,4.463445666102623,6.564827068087904,2.1839353677401085,1.109245829171277,1.1762324825470851,1.7362969050447061
12,978.0,0.804576370337637,5.077640130738157,0.0,4.930725769427457,1.658300128534,1.9078757773297332,3.235172818245543,4.656890895147024,2.0849259956919983,1.2857229843507232,1.1789865965037984,1.7373156630580169
13,376.0,0.9565638598519408,2.7539686834426074,0.0,5.647168844888055,2.5823367210680557,2.6096374749969855,4.262894008379298,5.980957132222954,2.1062914459106503,1.2504144692395471,1.4148062428637262,1.935550884026775
14,512.0,0.6872577968978354,4.336825009569859,0.0,4.7657823441998115,2.242181045570153,1.7813910868992033,2.805158759389687,4.053787203784444,2.142141763905591,1.187951456639303,1.273871703443079,1.7946636818701442
15,669.0,0.6165803922480564,4.821317243011299,0.0,4.664772750850147,1.5473481347148041,1.96735885205438,3.1844962077385888,4.506260646313144,2.0661475609341355,1.315687750359452,1.3056514149192733,1.959872170819557
16,962.0,0.8853522548546817,1.622335076132797,0.0,5.035664255747348,2.5370742801723503,1.7872526647348805,2.3648860710975455,3.229774015023193,2.1969570186756853,1.083226595912251,0.9315812969185943,1.4418602908956617
17,520.0,0.10332811224178129,5.472636753483326,0.0,3.8476048860468675,0.9395608713234466,1.8505105507609068,2.837653570787701,3.7826099922222824,2.1189250845562957,1.2288842443607522,-0.7347340351763229,1.545983834579549
18,581.0,0.6176597944355452,3.5158490371796947,0.0,4.555481502391182,2.090706446174487,1.6286456984024311,2.2828007493757916,3.1735883263173204,2.194562957207907,1.0880686682608272,1.0083968485767378,1.551377748688668
19,665.0,0.7297523946935801,4.729718194277634,0.0,4.235571109568535,1.5590595612717408,2.0604106710046555,4.886521934137195,8.267291670633808,2.190361484899436,1.0965019678364207,0.9170543381786945,1.6093029163815122
20,679.0,0.37593982993190134,4.558732762608293,0.0,5.941950878595159,1.5143577626771707,3.1020627552790963,5.918048781172166,8.861361727309141,1.908103266208247,1.5359498447167537,1.5649298179336593,2.1382391530711784
21,661.0,0.6903392299884307,5.8213376307502696,0.0,3.8689725833354784,1.501083868768042,1.3004337164422475,1.7719946026984514,2.3878769252324874,2.2325543177267995,1.0078200327436568,0.21691524222627626,1.319478766163985
22,465.0,0.01452426969971421,3.772413344348474,0.0,4.134925148721799,1.6358223137545695,1.7982816857688246,2.172945649105945,2.9719716889261645,2.1801494232697163,1.1166684791005443,0.5396865672879197,1.4651771590210934
23,762.0,0.45501091467189003,4.239314573367457,0.0,5.1546608034935355,1.730312653559611,2.1093236022483457,3.1150651863813006,4.174829402305512,2.0549031591226776,1.3331815355110657,1.2779272254878389,1.8283269112324851
24,964.0,0.3037094702704918,2.2437724831669987,0.0,3.7488542472257023,1.9123705773783382,1.2674416199182321,1.6117354511996793,2.410065750010411,2.2807699276899864,0.8933580116308425,-0.3368806489634549,1.139916331832867
25,978.0,0.9232942296002169,5.310510278498834,0.0,4.07382499084099,1.5018529121165656,1.5155967385467726,2.8453716867627747,4.444908495571699,2.1677666917708738,1.1405207451198611,0.6971555306550156,1.4737511395882432
26,646.0,0.04835500600054632,2.5641354267709193,0.0,4.326719571854082,2.0093109192350687,1.6701580298837604,1.862288254187298,2.4822847863460935,2.188873491243449,1.0994693444256267,0.7729960710271969,1.4182791461721678
27,365.0,0.26440102605718374,4.7154290487141965,0.0,4.324835975441699,1.0460582549415531,2.1082614386756413,4.118022102349578,6.317642983106738,1.8952320641073057,1.5518039254943137,1.3515031748954378,1.9715245351006545
28,499.0,0.7813262303579246,3.2679232209332483,0.0,4.805443758255683,2.109286691857081,1.796419953116254,2.6051629318622362,3.624953068325912,2.0913071430672754,1.2753173853420916,1.2170244853101602,1.6971868641001822
29,482.0,0.016071209152605515,4.015528225546589,0.0,3.762855526959858,1.1780144520212448,1.8261944894085163,2.4924767152804552,3.3027499489470045,2.028826676638372,1.3725386392231356,0.4700351523467327,1.6340235886653087
30,452.0,0.03739679303345045,5.732450444011148,0.0,10.296392135305611,1.7218168430450187,7.450237550815641,15.666448216258171,23.58628858068998,1.233751675813401,2.116094705448607,3.3835378252718424,4.662964705936312
31,558.0,0.7999266049759061,5.503684977363153,0.0,3.9909577302317856,1.8528237183378626,1.3829868931484477,2.134857153476491,3.17077283910061,2.2125398674927683,1.0510315574496722,0.7078012494690743,1.3494080896555785
32,993.0,0.2324083095429762,2.7636778851883244,0.0,4.2609113261764815,1.871731438151702,1.4405047696315698,1.7666178303065174,2.4369748574989005,2.2358402656590988,1.0005090236761753,0.6369464312726271,1.2907835260539047
33,353.0,0.6817421209685791,2.6074031013648353,0.0,4.422070417273707,2.1462503809851308,1.6403120235470021,2.263041120251719,3.1155464487971822,2.1791781178130476,1.1185627970055059,0.9349677814454521,1.484210216302894
34,819.0,0.9929473713263961,4.932600403099369,0.0,7.680921981196967,2.2727231471612552,3.5646934065580997,6.7752576039530386,10.301980260821745,1.9092372060338243,1.5345400910683813,1.9232027654564228,2.592983176563925
35,478.0,0.5630276967845688,2.2362573050842802,0.0,5.099408357149977,2.2686754416785186,2.0627535275041335,2.9413517955902746,4.207484355937437,2.1278304161890245,1.2133992417752881,1.1414271767139341,1.6919505056056923
36,778.0,0.7707913546480589,4.399233657785551,0.0,4.18568003872325,1.4323682181849717,1.321766111789956,1.9707866605356592,2.804619615966636,2.1434080294116096,1.1856652223346344,0.8024378562156995,1.4799214952220592
37,404.0,0.283386326090567,1.5866455040989176,0.0,4.137630280615559,2.43501746315677,1.4056159600398934,1.5192427221386997,2.0840428867933767,2.2443327996061817,0.9813104934789392,0.7417298392090983,1.2851111661992356
38,826.0,0.5906380446722227,3.365747809760687,0.0,5.127474873501709,1.922976808143021,1.999220979212168,3.141287689026436,4.564850523487419,2.162298766607244,1.1508536153346327,0.9139374852921537,1.5320864810029855
39,402.0,0.21332300151992,5.181827559137995,0.0,5.4193544291880915,1.4553009626502145,3.270187875653118,6.4106586518651145,9.458445136242903,1.9932172660117191,1.4237573285053773,1.761172130608212,2.4320124162383987
40,909.0,0.3021184891829156,2.9311890003193106,0.0,4.381151876788677,1.720031647717131,1.666857780004164,2.2857656827549624,3.0948672088245064,2.186524264165666,1.104133887811975,0.8055894908456159,1.461302131864382
41,716.0,0.020522902321781333,5.004401165452938,0.0,4.980946706162835,1.247329816594691,2.1355300443877483,3.3036307953069453,4.594363642651058,2.060376301156621,1.324707325273083,1.0451641862048349,1.7526420228477062
42,422.0,0.5771943060624477,3.875620389855847,0.0,6.282402685186233,2.08898107608149,2.9761095853292927,5.355899559985498,7.80478957687768,2.059199473894101,1.3265359123349276,1.5583531568988864,2.1459247761633127
43,964.0,0.7254837042770246,4.238163987378863,0.0,6.739067843547038,2.1947000814449833,2.761907719068957,5.603969501157455,8.965201659992468,2.015235840329846,1.3924167866878288,1.7344210865529777,2.3700919065442476
44,944.0,0.8766095098836144,2.152789643103711,0.0,4.750261964137421,2.430132890874652,1.6635551473352763,2.2279856838659313,3.045289300007638,2.218869936742177,1.037601177631256,0.8934956237438315,1.4215842180587694
45,712.0,0.5550353091765449,2.9477879313332656,0.0,5.296692029032609,1.9972826090874798,2.270267929213986,3.577411807541906,5.443252487194295,2.06339584191023,1.319999090752556,1.2186983791475405,1.754970505236255
46,521.0,0.3969855498291849,4.2742018835216475,0.0,5.672577128919,1.5054905745048586,2.7349380694587486,4.196149856205791,5.6059240768710366,1.8676957700075416,1.584838323203959,1.486782956851593,2.101860437504155
47,943.0,0.4383254116676074,5.3568790405287094,0.0,6.058158401937399,1.4722607005899027,2.3937262919958884,4.168635551734846,5.957169914283192,1.8740880507402489,1.577274224119769,1.6411894674057574,2.1298501714061575
48,998.0,0.7451690653469657,4.847955493057061,0.0,6.886987315406755,2.1244003606439907,3.055990141191247,5.577580108707902,8.344670071588327,1.951224088362564,1.480785115063518,1.710129099514305,2.338232037552931
49,598.0,0.515945104405974,3.790088383608641,0.0,5.193315092103617,2.1272379870194404,2.230604706547711,3.2604318378051858,4.379621526334465,2.126597973621023,1.2155579207059448,1.2668085788214678,1.8196354932718375
50,436.0,0.07444524138399033,1.6532281720880853,0.0,3.815141057705409,2.2764368727978215,1.2979786569755514,1.5854130232925492,2.353046682512521,2.269352624647542,0.921975414534093,0.557408945781886,1.190071804814949
51,525.0,0.8340413540340327,5.705695670980849,0.0,4.801316771124282,1.8595242064104058,2.037115430262423,3.81962014036916,6.007890811364277,2.101052849934147,1.259196935266123,1.2083288617094132,1.7884870149467447
52,472.0,0.2574948428892462,1.698828438444245,0.0,3.904875449713536,2.2972706079759067,1.263417598555458,1.2539741133675604,1.7794952536970896,2.257595967193828,0.9504001519939708,0.6356691864703441,1.2417620087886383
53,504.0,0.06556939223772007,3.1006215578589034,0.0,4.029367631602263,1.8253271070081685,1.6043321401926698,1.912082203055875,2.6314079257480474,2.2540772527077513,0.958715671523877,0.43885391367554294,1.2550451854434646
