Source,RAICRS,DEICRS,Plx,e_Plx,Class,_RA.icrs,_DE.icrs,recno
3209527462853356544,83.8619419151473,-5.18542907893565,2.538766235578,0.034470294355,II,83.8619419151473,-5.18542907893565,287
3017244658937364736,83.8628579163096,-5.81448372057907,2.390991729731,0.035260334623,II,83.8628579163096,-5.81448372057907,288
3209528046968906112,83.8644735156118,-5.16226237668151,2.149929171973,0.122045450214,II,83.8644735156118,-5.16226237668151,289
3017139900386574080,83.8669347542785,-6.35919736308679,2.744864762737,0.124296069658,II,83.8669347542785,-6.35919736308679,290
3016944187315030912,83.8678666655069,-6.50617724933582,2.379474183412,0.123889996689,II,83.8678666655069,-6.50617724933582,291
3017186625333092992,83.8680213665009,-5.98703277757001,2.64163650543,0.057129744367,II,83.8680213665009,-5.98703277757001,292
3017189859446112640,83.86836535572,-5.94112541111549,2.716300674043,0.055615428168,II,83.86836535572,-5.94112541111549,293
3016944290394245888,83.8691498719964,-6.50104361651766,2.510257545681,0.09993424092,II,83.8691498719964,-6.50104361651766,294
3017142752244845056,83.8727651700594,-6.27407128531902,2.478099146953,0.066436617341,II,83.8727651700594,-6.27407128531902,295
3017197727826175872,83.8770031526367,-5.81770696815548,2.61236913426,0.062921532335,II,83.8770031526367,-5.81770696815548,296
3209559486129350912,83.8787423503796,-4.92165536916787,2.518331408471,0.02445976623,II,83.8787423503796,-4.92165536916787,297
3017346952181227776,83.8807086873093,-5.55246239005621,2.584891530116,0.057433612208,II,83.8807086873093,-5.55246239005621,298
3017360799155290368,83.8809738202284,-5.42119829568833,2.422850376353,0.058748035517, F,83.8809738202284,-5.42119829568833,299
3209578830662000384,83.8821316589878,-4.68548388383554,2.573995787233,0.094433166446,II,83.8821316589878,-4.68548388383554,300
3209574810572628352,83.8842669222751,-4.7826052128053,2.595133335872,0.036768182798,II,83.8842669222751,-4.7826052128053,301
3209572233592263808,83.886345904531,-4.83662487795771,2.59147633259,0.027872766474,II,83.886345904531,-4.83662487795771,302
3209578345330280448,83.8875379846885,-4.73305529369091,2.476241011262,0.024495170003,II,83.8875379846885,-4.73305529369091,303
3017245178624857600,83.8881674449507,-5.78539555283737,2.535310511819,0.071658387293,II,83.8881674449507,-5.78539555283737,304
3209572061793574912,83.8889221740163,-4.853186344659,2.549641335579,0.067622273329,II,83.8889221740163,-4.853186344659,305
3209574913651840640,83.8903972760575,-4.77329076414333,2.46919268351,0.033287554796,II,83.8903972760575,-4.77329076414333,306
3016937418446633472,83.8924838510373,-6.6620189462652,2.543756214639,0.053248632072,II,83.8924838510373,-6.6620189462652,307
3209530520870064896,83.8928277214993,-5.10588955861654,2.472038033461,0.050514340796,II,83.8928277214993,-5.10588955861654,308
3209578865021733760,83.893643870505,-4.67243508911058,2.664557621566,0.06300400636,II,83.893643870505,-4.67243508911058,309
3209574707493411712,83.8937746347528,-4.78191807343862,2.624190749543,0.079069689281,II,83.8937746347528,-4.78191807343862,310
3209585599530439168,83.8939711852256,-4.63493935247971,2.622695164009,0.129519792555,II,83.8939711852256,-4.63493935247971,311
3209574604414198272,83.896764180186,-4.79436971299287,2.517470375567,0.050501609856,II,83.896764180186,-4.79436971299287,312
3017362723299586688,83.8970376857074,-5.35755593223767,2.499616072713,0.03269678626,II,83.8970376857074,-5.35755593223767,313
3017186767069660032,83.8980129350381,-5.97196893301046,2.518052080008,0.112486643018,II,83.8980129350381,-5.97196893301046,314
3017372515824989568,83.8983607320556,-5.26200457848696,2.479325417629,0.029736892961,II,83.8983607320556,-5.26200457848696,315
3209534399221611648,83.9016774754914,-5.021036397102,2.458325018179,0.064702543627,II,83.9016774754914,-5.021036397102,316
3215658683285563392,83.9018008429574,-4.27220106485407,2.458560107789,0.083431970055,II,83.9018008429574,-4.27220106485407,317
3017346127547506048,83.9018499605635,-5.56977160654406,2.564468386792,0.059883561849,II,83.9018499605635,-5.56977160654406,318
3016951952615900800,83.9055740686809,-6.3906809016598,2.621036343679,0.049307043731,II,83.9055740686809,-6.3906809016598,319
3017139831667091072,83.9056090283606,-6.35533286827277,2.69769444284,0.077536445328,II,83.9056090283606,-6.35533286827277,320
3209529799315558784,83.9070233813929,-5.1088941331205,2.550529557198,0.055438025008,II,83.9070233813929,-5.1088941331205,321
3209637001698987008,83.9080853686987,-4.43575026638949,2.203366529348,0.097484323601,II,83.9080853686987,-4.43575026638949,322
3209585633890383872,83.9103863966024,-4.64229391516466,2.604348189961,0.093557264769,II,83.9103863966024,-4.64229391516466,323
3016951883896423936,83.9108155433758,-6.39532064894873,2.514569240621,0.085018551463,II,83.9108155433758,-6.39532064894873,324
3016467411586094976,83.9140008736569,-7.34396274708305,2.778634551569,0.096563445059,II,83.9140008736569,-7.34396274708305,325
3209584671817511040,83.9156967950916,-4.67342555568027,2.348362361772,0.054352753254,II,83.9156967950916,-4.67342555568027,326
3209574741853143552,83.9167617156989,-4.76539327513262,2.573318799319,0.026489860348,II,83.9167617156989,-4.76539327513262,327
3209531379863520512,83.916748644174,-5.04362007457396,2.681719028511,0.167665370164,II,83.916748644174,-5.04362007457396,328
3209559279971069440,83.9183320380869,-4.92889284396669,2.658763102413,0.07967820515,II,83.9183320380869,-4.92889284396669,329
3209586355444660992,83.9189767240757,-4.58859440620103,2.569765959906,0.056051339883,II,83.9189767240757,-4.58859440620103,330
3016952090054853888,83.920960025003,-6.37927437779989,2.75682683654,0.044400459025,II,83.920960025003,-6.37927437779989,331
3017169862078404480,83.9259318204674,-6.19549729062507,2.53382061131,0.157091637123,II,83.9259318204674,-6.19549729062507,332
3016940235945174400,83.9281957936532,-6.58104515115406,2.562964401808,0.032810253404,II,83.9281957936532,-6.58104515115406,333
3016952124414592000,83.9285160908657,-6.36240683556424,2.623974184128,0.04199755228,II,83.9285160908657,-6.36240683556424,334
3209574673133667712,83.9292733494999,-4.78343176367331,2.645914707953,0.076861001687,II,83.9292733494999,-4.78343176367331,335
3209531173705090048,83.9294238438823,-5.0520865015109,2.692061049565,0.102931265895,II,83.9294238438824,-5.0520865015109,336
3209637139137932288,83.9296427829896,-4.41547512615411,2.486301858823,0.037952902028,II,83.9296427829896,-4.41547512615411,337
3016952090054853760,83.930748855861,-6.37211158251752,2.703921753746,0.102419696256,II,83.930748855861,-6.37211158251752,338
