,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,visibility_periods_used,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error
51,3012342181396446080,85.62756833728024,0.020850593539104727,-8.548686277235785,0.025569477883284487,2.3915545582267947,0.029053677163600636,0.5306785927014734,0.04653288688593647,-0.09851456939775037,0.048644536203999195,189,5.564512,311.7705,12,534.6487,12.925281,156.29637,219.83656,1.2843536,1.547863,0.72556686,0.82229614,10.971195347407406,5.419802156823879
52,3012679452292969088,86.65954701498883,0.027613923733449956,-8.531096013410524,0.032806373387995615,1.9845265238970176,0.04061789408847692,-0.5284646923159778,0.06932025434877244,-2.478306067888265,0.07207717475750305,185,7.1875877,352.67026,12,3876.686,11.966246,618.8502,1043.2913,1.2797934,1.4095755,0.633461,0.77611446,,
53,3012711239346713216,86.27015571710768,0.0834483645398283,-8.369439108897993,0.08491437196428676,2.5277049249225065,0.10704306803794704,0.8731263167449786,0.19867133023810205,-0.825268341547302,0.16034884900259763,184,7.805138,369.93393,12,80.374,16.68423,13.692296,32.00673,1.5593204,2.82864,1.5498142,1.2788258,,
54,3012722509340910336,85.94376331630743,0.046931245511725415,-8.314491320980256,0.05184228523263751,2.47557330036097,0.06246919893567572,0.39262762144377755,0.11579772493104033,-0.495469430020853,0.12049408478344192,202,4.86464,309.29462,12,381.83105,16.222733,33.5498,142.30351,1.5155244,2.7070227,1.4735489,1.2334738,,
55,3012725567357614208,86.11844422515085,0.0971087318231785,-8.252773838439333,0.10073488246390047,2.4040247993566024,0.1252409337844928,0.23400988187999153,0.24361899641238935,-0.00914984341280756,0.19671273877566153,202,2.9063933,259.70258,11,218.66896,17.466576,23.429012,38.480698,1.5497804,3.2297974,1.9191246,1.3106728,,
56,3012738452259483008,86.43219714958346,0.04077340881774036,-8.194784320002753,0.041650785299314624,2.4717707364156416,0.04600860622003446,0.428535376468715,0.08766003167035195,-0.057803487786025516,0.07604706358122958,139,1.2556826,154.89006,11,776.1851,15.377784,196.1815,374.33572,1.4145851,2.3202066,1.2179403,1.1022663,,
57,3015302960051996160,85.15370377530876,0.03287216855990111,-8.896696614461849,0.03314009424356545,2.194224616711369,0.04319174448475659,0.13012820110332152,0.08686488620486553,-1.6714711181368458,0.10172022221958826,167,7.6555495,341.46716,11,1949.9025,11.060023,655.8101,1244.22,1.2053069,0.803236,0.32499027,0.47824574,,
58,3015303509807808384,85.2051693807723,0.06888462857997206,-8.856077876154766,0.06817952433585285,2.1517114661441306,0.09554572353561643,0.103548944151305,0.17230518011234736,-1.4672561523722636,0.169188099204648,186,7.488406,363.06912,12,120.97966,16.355299,26.64681,63.0134,1.6536901,3.2261171,1.8452816,1.3808355,,
59,3015313439772208640,85.34562693725306,0.07841229881863884,-8.653056252993247,0.07911331126443871,2.0820496654218514,0.10451654743324974,-0.6258244583445326,0.18898525785922113,-1.3305865252710076,0.16488721600964118,160,10.693968,428.50327,11,297.84833,16.221935,25.960098,61.916386,1.6725776,3.4574537,2.0472736,1.4101801,,
60,3015335017687856640,85.05751211772107,0.06558632613046883,-8.443853474441598,0.06364819530558335,2.981640266257572,0.09003481704088456,1.8090835119472244,0.1746039607127395,-1.113827049494663,0.20345074994845327,166,3.896425,240.65605,11,413.1104,16.40957,54.405483,226.14761,1.4989095,2.7625923,1.5343208,1.2282715,,
61,3015345669206779776,85.6639766107632,0.03831445020215856,-8.441195517011986,0.050095338426498486,2.2171754767171987,0.06242500325467531,-0.07330266111614905,0.09114735924550883,-0.6348156037814211,0.08622633967173626,167,4.4124303,254.20918,11,349.4561,15.392404,64.4438,143.07028,1.4272935,2.4041328,1.2784357,1.1256971,,
62,3015347211098999424,85.65706930985854,0.08171562321500014,-8.420983298010018,0.12074507636688517,2.6805493226481305,0.1547884185542298,0.27797534958955206,0.18493227738182325,-0.416335796682692,0.18089673263942732,140,4.419863,220.50179,10,47.444187,16.84888,8.928163,20.311054,1.5376666,2.7936478,1.5340099,1.2596378,,
63,3015347833870294528,85.73726844218928,0.05659045668783485,-8.380643440601173,0.06934938399429745,2.1771891927673526,0.0823455786747979,-0.09713554092737553,0.135499332502498,-0.6785793471307426,0.12776129996222615,167,5.0423946,269.83096,11,53.93482,16.312971,13.0001,17.28911,1.5516304,2.8545523,1.5782013,1.276351,,
64,3015348761583229568,85.72334784547878,0.060472731428538824,-8.339626693840941,0.07505483707306193,2.1253576564056726,0.09234605220902035,-0.037557652846956516,0.15038303289202617,-0.2518838865136541,0.14120354824243467,174,6.4711747,317.057,11,544.5159,16.284836,77.96726,219.31766,1.5330775,2.962326,1.687645,1.2746811,,
65,3015362368039588096,85.43696569388635,0.1233503399982257,-8.35851430407519,0.1377249780563427,2.3659451689513498,0.1664625544310637,0.04872797328715494,0.27095725094667034,-1.636692805086971,0.24869751013356559,200,8.068002,400.58676,12,108.28989,17.637354,8.898392,28.623373,1.80184,4.136799,2.6116753,1.5251236,,
66,3015413083013367168,85.10729159615286,0.10685641871815571,-8.188000203110276,0.11747141099324769,2.644617179281955,0.15119055139890678,0.43677969448142134,0.24646509467625521,-0.5092228008872562,0.2522721641351463,194,6.5712514,346.7095,12,102.71873,17.600986,13.0933895,36.84148,1.7267603,3.7324047,2.2713318,1.4610729,,
67,3015413770208134016,85.0909904186525,0.10084184727192143,-8.148865049924062,0.11366109788873482,2.7799667184238506,0.14306351019721733,1.0535733243476326,0.227376044896141,-0.4674748487950812,0.2367602526614112,203,10.127927,474.46576,12,517.67206,17.27119,19.082521,191.29271,1.8182195,3.69588,2.1807175,1.5151625,,
68,3015414629201592576,85.10404820268855,0.018356105752318823,-8.125873048602301,0.021424573917069412,2.499364156914039,0.024715106697312642,0.9119283665581737,0.0413746126806454,0.16298701740668928,0.04552171161540207,174,4.045796,253.95137,11,257.85477,13.173181,71.615654,94.49422,1.3508718,1.8621016,0.9020529,0.9600487,,
